fantrax_name,fantrax_team,rank,score,name,team,position,matchup count,Date
Anthony Gordon,NEW,128,1052.45049931777,Anthony Gordon,,M,80,2023-07-11
Rodrigo Hernandez Cascante,MCI,61,1819.5109190889996,Rodri,,M,102,2023-07-11
Ben Mee,BRF,60,1825.728645813454,Ben Mee,,D,104,2023-07-11
Leandro Trossard,ARS,59,1829.2015792368024,Leandro Trossard,,M,109,2023-07-11
Jacob Ramsey,AVL,58,1832.8441677029941,Jacob Ramsey,,M,104,2023-07-11
Bruno Moura,NEW,57,1835.4008996995274,Bruno Guimaraes,,M,111,2023-07-11
Alex Iwobi,EVE,56,1847.4183971996995,Alex Iwobi,,M,94,2023-07-11
Casemiro,MUN,55,1857.3317332094648,Casemiro,,M,98,2023-07-11
Hamed Traore,BOU,54,1908.983687688997,Hamed Traore,,M,90,2023-07-11
Bryan Mbeumo,BRF,53,1910.7476431727453,Bryan Mbeumo,,F,98,2023-07-11
Fabian Schar,NEW,52,1927.342330652943,Fabian Schar,,D,98,2023-07-11
James Tarkowski,EVE,51,1953.6055013809573,James Tarkowski,,D,102,2023-07-11
Andrew Robertson,LIV,50,1960.295377981669,Andrew Robertson,,D,98,2023-07-11
Diogo Jose Teixeira da Silva,LIV,49,1970.5942759306647,Diogo Jota,,F,133,2023-07-11
Ben Chilwell,CHE,48,1980.3056992742365,Ben Chilwell,,D,87,2023-07-11
Raheem Sterling,CHE,47,1984.6113614275266,Raheem Sterling,,F,101,2023-07-11
Said Benrahma,WHU,46,1985.4380472002224,Said Benrahma,,M,113,2023-07-11
Kai Havertz,ARS,45,1989.1709630319149,Kai Havertz,,F,103,2023-07-11
Declan Rice,ARS,62,1817.8684254757159,Declan Rice,,M,105,2023-07-11
Allan Saint-Maximin,NEW,44,2007.5699249755137,Allan Saint-Maximin,,M,76,2023-07-11
Antony Matheus dos Santos,MUN,63,1786.0468618573655,Antony,,F,106,2023-07-11
Callum Wilson,NEW,65,1777.3955612897125,Callum Wilson,,F,104,2023-07-11
Riyad Mahrez,MCI,82,1548.473370229075,Riyad Mahrez,,F,78,2023-07-11
Wilfried Zaha,CRY,81,1574.207797571117,Wilfried Zaha,,F,85,2023-07-11
Michael Keane,EVE,80,1594.395650141875,Michael Keane,,D,100,2023-07-11
Ivan Perisic,TOT,79,1643.232482799328,Ivan Perisic,,M,93,2023-07-11
Tomas Soucek,WHU,78,1646.5730188719433,Tomas Soucek,,M,86,2023-07-11
Ivan Toney,BRF,77,1653.525459076974,Ivan Toney,,F,91,2023-07-11
Benson Manuel,BUR,76,1668.4519596689356,Benson Manuel,,M,85,2023-07-11
Jadon Sancho,MUN,75,1668.8572208717608,Jadon Sancho,,M,84,2023-07-11
Dango Ouattara,BOU,74,1677.4587665253769,Dango Ouattara,,F,96,2023-07-11
Jose Diogo Dalot Teixeira,MUN,73,1691.3958465591088,Diogo Dalot,,D,88,2023-07-11
Dominic Calvert-Lewin,EVE,72,1699.7525756315674,Dominic Calvert-Lewin,,F,105,2023-07-11
Joe Willock,NEW,71,1703.023903055753,Joe Willock,,M,84,2023-07-11
Willian,FUL,70,1729.2721060267322,Willian,,F,104,2023-07-11
Virgil van Dijk,LIV,69,1744.6944332758676,Virgil van Dijk,,D,74,2023-07-11
Douglas Luiz Soares de Paulo,AVL,68,1746.5498835889673,Douglas Luiz,,M,124,2023-07-11
Julio Enciso,BHA,67,1762.0922619904272,Julio Enciso,,F,89,2023-07-11
